run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	experiment_title	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR12183258	SAMN15485816	SRX8697684	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/058/SRR12183258/SRR12183258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/058/SRR12183258/SRR12183258_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/058/SRR12183258	
SRR12183297	SAMN15485755	SRX8698078	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/097/SRR12183297/SRR12183297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/097/SRR12183297/SRR12183297_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/097/SRR12183297	
SRR12183259	SAMN15485663	SRX8697683	PRJNA644936	939928	rhizosphere metagenome	Illumina MiSeq sequencing: 16S amplicon of RT sample from mesocosm with Florence soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/059/SRR12183259/SRR12183259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/059/SRR12183259/SRR12183259_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/059/SRR12183259	
SRR12183299	SAMN15485753	SRX8698076	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/099/SRR12183299/SRR12183299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/099/SRR12183299/SRR12183299_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/099/SRR12183299	
SRR12183260	SAMN15485815	SRX8697682	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/060/SRR12183260/SRR12183260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/060/SRR12183260/SRR12183260_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/060/SRR12183260	
SRR12183300	SAMN15485752	SRX8698075	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/000/SRR12183300/SRR12183300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/000/SRR12183300/SRR12183300_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/000/SRR12183300	
SRR12183261	SAMN15485814	SRX8697681	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/061/SRR12183261/SRR12183261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/061/SRR12183261/SRR12183261_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/061/SRR12183261	
SRR12183302	SAMN15485750	SRX8698073	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/002/SRR12183302/SRR12183302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/002/SRR12183302/SRR12183302_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/002/SRR12183302	
SRR12183264	SAMN15485811	SRX8697678	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/064/SRR12183264/SRR12183264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/064/SRR12183264/SRR12183264_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/064/SRR12183264	
SRR12183303	SAMN15485749	SRX8698072	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/003/SRR12183303/SRR12183303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/003/SRR12183303/SRR12183303_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/003/SRR12183303	
SRR12183267	SAMN15485807	SRX8698108	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/067/SRR12183267/SRR12183267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/067/SRR12183267/SRR12183267_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/067/SRR12183267	
SRR12183309	SAMN15485676	SRX8698066	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Pendelton soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/009/SRR12183309/SRR12183309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/009/SRR12183309/SRR12183309_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/009/SRR12183309	
SRR12183270	SAMN15485805	SRX8698105	PRJNA644936	939928	rhizosphere metagenome	Illumina MiSeq sequencing: 16S amplicon of RT sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/070/SRR12183270/SRR12183270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/070/SRR12183270/SRR12183270_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/070/SRR12183270	
SRR12183319	SAMN15485937	SRX8698056	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/019/SRR12183319/SRR12183319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/019/SRR12183319/SRR12183319_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/019/SRR12183319	
SRR12183271	SAMN15485804	SRX8698104	PRJNA644936	939928	rhizosphere metagenome	Illumina MiSeq sequencing: 16S amplicon of RT sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/071/SRR12183271/SRR12183271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/071/SRR12183271/SRR12183271_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/071/SRR12183271	
SRR12183322	SAMN15485935	SRX8698053	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/022/SRR12183322/SRR12183322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/022/SRR12183322/SRR12183322_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/022/SRR12183322	
SRR12183273	SAMN15485802	SRX8698102	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/073/SRR12183273/SRR12183273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/073/SRR12183273/SRR12183273_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/073/SRR12183273	
SRR12183326	SAMN15485931	SRX8698049	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/026/SRR12183326/SRR12183326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/026/SRR12183326/SRR12183326_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/026/SRR12183326	
SRR12183280	SAMN15485770	SRX8698095	PRJNA644936	939928	rhizosphere metagenome	Illumina MiSeq sequencing: 16S amplicon of RT sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/080/SRR12183280/SRR12183280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/080/SRR12183280/SRR12183280_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/080/SRR12183280	
SRR12183332	SAMN15485674	SRX8698043	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Florence soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/032/SRR12183332/SRR12183332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/032/SRR12183332/SRR12183332_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/032/SRR12183332	
SRR12183287	SAMN15485764	SRX8698088	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/087/SRR12183287/SRR12183287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/087/SRR12183287/SRR12183287_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/087/SRR12183287	
SRR12183333	SAMN15485925	SRX8698042	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Pendelton soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/033/SRR12183333/SRR12183333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/033/SRR12183333/SRR12183333_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/033/SRR12183333	
SRR12183304	SAMN15485748	SRX8698071	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 65 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/004/SRR12183304/SRR12183304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/004/SRR12183304/SRR12183304_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/004/SRR12183304	
SRR12183335	SAMN15485897	SRX8698040	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/035/SRR12183335/SRR12183335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/035/SRR12183335/SRR12183335_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/035/SRR12183335	
SRR12183306	SAMN15485746	SRX8697817	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 65 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/006/SRR12183306/SRR12183306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/006/SRR12183306/SRR12183306_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/006/SRR12183306	
SRR12183336	SAMN15485896	SRX8698039	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/036/SRR12183336/SRR12183336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/036/SRR12183336/SRR12183336_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/036/SRR12183336	
SRR12183311	SAMN15485945	SRX8698064	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/011/SRR12183311/SRR12183311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/011/SRR12183311/SRR12183311_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/011/SRR12183311	
SRR12183338	SAMN15485895	SRX8698037	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/038/SRR12183338/SRR12183338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/038/SRR12183338/SRR12183338_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/038/SRR12183338	
SRR12183312	SAMN15485944	SRX8698063	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/012/SRR12183312/SRR12183312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/012/SRR12183312/SRR12183312_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/012/SRR12183312	
SRR12183343	SAMN15485890	SRX8698032	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Pendelton soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/043/SRR12183343/SRR12183343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/043/SRR12183343/SRR12183343_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/043/SRR12183343	
SRR12183313	SAMN15485943	SRX8698062	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/013/SRR12183313/SRR12183313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/013/SRR12183313/SRR12183313_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/013/SRR12183313	
SRR12183344	SAMN15485889	SRX8698031	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Pendelton soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/044/SRR12183344/SRR12183344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/044/SRR12183344/SRR12183344_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/044/SRR12183344	
SRR12183314	SAMN15485942	SRX8698061	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/014/SRR12183314/SRR12183314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/014/SRR12183314/SRR12183314_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/014/SRR12183314	
SRR12183348	SAMN15485670	SRX8698027	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/048/SRR12183348/SRR12183348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/048/SRR12183348/SRR12183348_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/048/SRR12183348	
SRR12183315	SAMN15485941	SRX8698060	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/015/SRR12183315/SRR12183315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/015/SRR12183315/SRR12183315_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/015/SRR12183315	
SRR12183353	SAMN15485881	SRX8698022	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 35 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/053/SRR12183353/SRR12183353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/053/SRR12183353/SRR12183353_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/053/SRR12183353	
SRR12183316	SAMN15485940	SRX8698059	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/016/SRR12183316/SRR12183316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/016/SRR12183316/SRR12183316_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/016/SRR12183316	
SRR12183357	SAMN15485877	SRX8698018	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/057/SRR12183357/SRR12183357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/057/SRR12183357/SRR12183357_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/057/SRR12183357	
SRR12183317	SAMN15485939	SRX8698058	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/017/SRR12183317/SRR12183317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/017/SRR12183317/SRR12183317_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/017/SRR12183317	
SRR12183359	SAMN15485669	SRX8698016	PRJNA644936	939928	rhizosphere metagenome	Illumina MiSeq sequencing: 16S amplicon of RT sample from mesocosm with Sand soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/059/SRR12183359/SRR12183359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/059/SRR12183359/SRR12183359_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/059/SRR12183359	
SRR12183323	SAMN15485934	SRX8698052	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/023/SRR12183323/SRR12183323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/023/SRR12183323/SRR12183323_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/023/SRR12183323	
SRR12183370	SAMN15485992	SRX8698005	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/070/SRR12183370/SRR12183370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/070/SRR12183370/SRR12183370_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/070/SRR12183370	
SRR12183327	SAMN15485930	SRX8698048	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/027/SRR12183327/SRR12183327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/027/SRR12183327/SRR12183327_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/027/SRR12183327	
SRR12183375	SAMN15485987	SRX8698000	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Pendelton soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/075/SRR12183375/SRR12183375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/075/SRR12183375/SRR12183375_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/075/SRR12183375	
SRR12183328	SAMN15485929	SRX8698047	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/028/SRR12183328/SRR12183328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/028/SRR12183328/SRR12183328_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/028/SRR12183328	
SRR12183329	SAMN15485928	SRX8698046	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/029/SRR12183329/SRR12183329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/029/SRR12183329/SRR12183329_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/029/SRR12183329	
SRR12183376	SAMN15485986	SRX8697999	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Pendelton soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/076/SRR12183376/SRR12183376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/076/SRR12183376/SRR12183376_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/076/SRR12183376	
SRR12183331	SAMN15485926	SRX8698044	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Pendelton soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/031/SRR12183331/SRR12183331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/031/SRR12183331/SRR12183331_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/031/SRR12183331	
SRR12183377	SAMN15485680	SRX8697998	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Sand soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/077/SRR12183377/SRR12183377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/077/SRR12183377/SRR12183377_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/077/SRR12183377	
SRR12183334	SAMN15485924	SRX8697775	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BP sample from mesocosm with Pendelton soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/034/SRR12183334/SRR12183334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/034/SRR12183334/SRR12183334_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/034/SRR12183334	
SRR12183379	SAMN15485984	SRX8697996	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Pendelton soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/079/SRR12183379/SRR12183379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/079/SRR12183379/SRR12183379_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/079/SRR12183379	
SRR12183341	SAMN15485892	SRX8698034	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/041/SRR12183341/SRR12183341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/041/SRR12183341/SRR12183341_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/041/SRR12183341	
